primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;65.37865780002903;1;65.4560168000171;67.45624400000088;67.45624400000088;None;69.4727397999959;None;71.70613569999114;72.02271130005829;73.2395114999963;73.25601350003853;77.49770680000074;None;8;0;1.0599522999254987;77.49770680000074;None;79.0558880000608;None;None;None;[];79.0558880000608;None;5;None;79.0558880000608;None;;;;;;;;;;;;;;;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;82.07244150002953;None;84.18045500002336;84.49706610001158;85.67224320000969;85.68897870008368;87.64739629998803;None;None;0;;87.64739629998803;None;89.20553909998853;None;None;None;[];89.20553909998853;None;7;"['9', '9']";89.20553909998853;None;"[0.27194210002198815, 0.7761214000638574]";;;;;;;;;;;;;;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;93.23873199999798;None;94.5135710000759;94.83028470003046;95.96339270006865;95.98037210002076;97.96353090007324;None;None;0;;97.96353090007324;None;;;;;;;;4;;;;;92.21378590003587;None;99.51358050003182;None;None;None;[];99.51358050003182;None;"['7', '7', '9']";"[0.29198810004163533, 1.6762017000000924, 2.68448149994947]";99.51358050003182;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;102.51343629998155;None;104.22149230004288;104.53823740000371;105.67156110005453;105.68836750008631;108.36340959998779;None;None;0;;108.36340959998779;None;;;;;;;;3;;;;;;;109.91304940008558;None;None;None;[];109.91304940008558;None;"['7', '7']";"[0.30897509993519634, 0.7804786999477074]";109.91304940008558;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;112.91304680006579;None;114.3963020000374;114.71315379999578;115.86314060003497;115.87971040001139;117.83809790003579;None;9;0;0.9675763000268489;117.83809790003579;None;;;;;;;;6;;;;;;;119.38791589997709;None;None;None;[];119.38791589997709;None;"['9', '9']";"[0.5777687999652699, 1.4820396999130026]";119.38791589997709;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;122.38794130005408;None;123.70434820000082;124.02110830007587;125.14616320002824;125.16268160007894;127.15433350007515;None;8;0;0.8194847999839112;127.15433350007515;None;;;;;;;;5;;;;;;;128.6959935000632;None;None;None;[];128.6959935000632;None;None;;128.6959935000632;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;131.72903940000106;None;133.87895350006875;134.19584210007451;135.34582470008172;135.3624722000677;146.32872530003078;None;7;0;0.8609176999889314;146.32872530003078;None;;;;;;;;4;;;;;;;147.8787292999914;None;None;None;[];147.8787292999914;None;['7'];[0.3350477999774739];147.8787292999914;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;150.87863520008978;None;152.62010579998605;152.93683210003655;154.12082559999544;154.14525790000334;157.2369152000174;None;9;0;0.8887807000428438;157.2369152000174;None;;;;;;;;5;;;;;;;158.78671010001563;None;None;None;[];158.78671010001563;None;None;;158.78671010001563;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;161.80308400001377;None;163.82810809998773;164.14484620001167;165.2872036000481;165.3198740000371;168.06977970001753;None;7;0;0.8079933000262827;168.06977970001753;None;;;;;;;;4;;;;;;;169.61972519999836;None;None;None;[];169.61972519999836;None;['7'];[0.30590889998711646];169.61972519999836;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;172.61965490004513;None;174.0277914000908;174.34451890003402;175.47786970005836;175.49453190003987;177.96948209998664;None;9;0;1.0441993999993429;177.96948209998664;None;;;;;;;;6;;;;;;;179.51088560000062;None;None;None;[];179.51088560000062;None;['9'];[0.4149035000009462];179.51088560000062;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;182.51110490004066;None;183.9524622000754;184.26920049998444;185.40259299997706;185.41924830002245;187.46918350004125;None;7;0;1.168592800037004;187.46918350004125;None;;;;;;;;4;;;;;;;189.01908019999973;None;None;None;[];189.01908019999973;None;['7'];[0.4184871999314055];189.01908019999973;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;192.01910730008967;None;193.2855358000379;193.60224650008604;194.75227830000222;194.76893870008644;200.52712350001093;None;None;0;;200.52712350001093;None;;;;;;;;5;;;;;;;202.07693780004047;None;None;None;[];202.07693780004047;None;"['9', '7']";"[0.5048339000204578, 2.3207433000206947]";202.07693780004047;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;205.077102500014;None;206.74358530004974;207.0602168000769;208.23524359997828;208.25184849998914;216.32675980008207;None;7;0;0.5109277999727055;216.32675980008207;None;;;;;;;;4;;;;;;;217.87658380006906;None;None;None;[];217.87658380006906;None;['7'];[1.7293016000185162];217.87658380006906;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;220.8847118000267;None;222.84301429998595;223.15965010004584;224.30974180006888;224.3263856000267;238.79259530000854;None;7;0;0.6131907999515533;238.79259530000854;None;;;;;;;;6;;;;;;;240.36755890003406;None;None;None;[];240.36755890003406;None;['9'];[0.6541551999980584];240.36755890003406;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;243.3758629000513;None;244.85063690005336;245.16731769999024;246.30902390007395;246.32570290006697;249.3172374999849;None;9;0;0.36854669998865575;249.3172374999849;None;;;;;;;;7;;;;;;;250.86723089998122;None;None;None;[];250.86723089998122;None;"['9', '9', '9']";"[0.4104897999204695, 0.674309799913317, 1.77861739997752]";250.86723089998122;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;253.86726810003165;None;255.3586356000742;255.67527850007173;256.8253739000065;256.8420269000344;259.4338814000366;None;7;0;0.5719028000021353;259.4338814000366;None;;;;;;;;3;;;;;;;260.9835844000336;None;None;None;[];260.9835844000336;None;"['7', '7', '7']";"[0.29413679998833686, 0.6380883000092581, 1.998368600034155]";260.9835844000336;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
