"ROI","TaskCondition","Participant","BrainValue"
"1","1","1",0.403124131638249
"1","1","2",0.470334877479609
"1","1","3",-0.205599752680694
"1","1","4",-0.100644004122805
"1","1","5",0.284042595121176
"1","1","6",0.360783959566443
"1","1","7",0.197576220271299
"1","1","8",0.736110950125889
"1","1","9",-0.241784131086272
"1","1","10",-0.0232266442891877
"1","1","11",0.329947548721561
"1","1","12",-0.606386419961123
"1","1","13",0.55995726067482
"1","1","14",0.585028194032964
"1","1","15",0.196681580097392
"1","1","16",0.140126544608516
"1","1","17",0.233475085135882
"1","1","18",0.506531646308888
"1","1","19",-0.16188866306956
"1","1","20",0.136770300566913
"1","1","21",0.250906245663182
"1","1","22",0.274365919789799
"1","1","23",0.0108049596990589
"1","1","24",0.140072376436243
"1","1","25",-0.189564943140431
"1","1","26",0.114279302010697
"1","1","27",0.64213919195057
"1","1","28",0.202729041775219
"1","1","29",-0.128187362817424
"1","1","30",0.394178601299844
"1","1","31",0.3104998021485
"1","1","32",0.459890651478758
"1","1","33",0.0531728931104507
"1","1","34",0.41569956214193
"1","1","35",0.434727878442076
"1","1","36",-0.00814106706927372
"1","1","37",0.390886832701142
"1","1","38",-0.066888350390496
"1","1","39",-0.0532983077889763
"1","1","40",0.14927387685038
"1","1","41",0.280531761600148
"1","1","42",0.393836538905535
"1","1","43",0.24301018258481
"1","1","44",0.453760508468708
"1","1","45",0.470730666631973
"1","1","46",0.0718347088450838
"1","1","47",-0.227347469318855
"1","1","48",0.288975071242672
"1","1","49",0.378660303806036
"1","1","50",-0.0452050724962296
"1","1","51",0.365145487026539
"1","1","52",-0.105324383970836
"1","1","53",-0.158578598561049
"1","1","54",-0.238344277726577
"1","1","55",0.122330516668236
"1","1","56",0.488321050335237
"1","1","57",0.00811166196069642
"1","1","58",0.171063919438095
"1","1","59",-0.0299029514814417
"1","1","60",0.139283903243313
"1","1","61",0.388635084600892
"1","1","62",0.242322577163577
"1","1","63",0.0926260590549498
"1","1","64",0.492236644413404
"1","1","65",0.207162565832799
"1","1","66",0.283649702457999
"1","1","67",0.288317655254209
"1","1","68",0.460801904705369
"1","1","69",0.763157301557888
"1","1","70",0.0423513796990288
"1","1","71",0.195000292571466
"1","1","72",-0.0129303790517556
"1","1","73",0.38844372064629
"1","1","74",0.0469900417897697
"1","1","75",0.0187340767143627
"1","1","76",0.171989253264015
"1","1","77",-0.639841503637835
"1","1","78",0.203810215309526
"1","1","79",0.148867238636898
"1","1","80",0.229586545007019
"1","1","81",0.241572621816057
"1","1","82",0.30924932444771
"1","1","83",0.0347667495602727
"1","1","84",0.175832816426135
"1","1","85",0.00822839883063758
"1","1","86",0.430038166950302
"1","1","87",-1.09136346177977
"1","1","88",0.344992054066038
"1","1","89",-0.0392205279391512
"1","1","90",0.194957107668023
"1","1","91",0.360242431672911
"1","1","92",0.184483834793249
"1","1","93",0.0940851364588446
"1","1","94",0.0990368508169715
"1","1","95",-0.437560269291081
"1","1","96",0.436741314858931
"1","1","97",0.321531306906808
"1","1","98",0.175841048831211
"1","1","99",0.428743444520382
"1","1","100",0.049208589618196
"1","1","101",0.000815016768562297
"1","1","102",0.260517607405171
"1","1","103",0.254941530601402
"1","1","104",0.136035398037715
"1","1","105",-0.108784905217429
"1","1","106",0.173933598140966
"1","1","107",0.869789861324357
"1","1","108",0.215216367679641
"1","1","109",0.512506474683314
"1","1","110",0.0751287749082577
"1","1","111",-0.0342568504234481
"1","1","112",0.161795970825811
"1","2","1",0.345643986670681
"1","2","2",0.510974056140436
"1","2","3",-0.377640818187028
"1","2","4",-0.36258699305401
"1","2","5",0.340757555147605
"1","2","6",0.328888191830764
"1","2","7",-0.403077559530493
"1","2","8",0.404409892581911
"1","2","9",-0.455112024202822
"1","2","10",-0.0523511690458631
"1","2","11",-0.0177249345110684
"1","2","12",-0.351418638225206
"1","2","13",0.277553049143313
"1","2","14",0.350663172879389
"1","2","15",-0.0376266934738563
"1","2","16",-0.125662516311018
"1","2","17",-0.124027807189803
"1","2","18",0.268041196121236
"1","2","19",-0.211444578312624
"1","2","20",0.0238065830038149
"1","2","21",-0.0258109916332245
"1","2","22",0.313199809671009
"1","2","23",-0.23367961274164
"1","2","24",-0.0784710042618422
"1","2","25",-0.458481150912121
"1","2","26",0.0157022684124177
"1","2","27",0.607042196378926
"1","2","28",0.0415779601570079
"1","2","29",-0.124781375801419
"1","2","30",0.0229729699714836
"1","2","31",0.165305704345957
"1","2","32",0.329809023445942
"1","2","33",-0.0541122232079203
"1","2","34",-0.169034352809644
"1","2","35",-0.259424206036122
"1","2","36",-0.27438554494089
"1","2","37",0.256416798068965
"1","2","38",-0.109234372865621
"1","2","39",0.104039430542087
"1","2","40",-0.1046023969406
"1","2","41",0.116314683357875
"1","2","42",0.30808530817645
"1","2","43",0.0569125436340095
"1","2","44",0.329275961477893
"1","2","45",0.0984514381784085
"1","2","46",-0.1955308250144
"1","2","47",-0.2333475689487
"1","2","48",-0.683373293547883
"1","2","49",0.147850840020845
"1","2","50",-0.471159778334774
"1","2","51",-0.0768392511257311
"1","2","52",-0.369813088746741
"1","2","53",-0.160981527759198
"1","2","54",-0.339177394902894
"1","2","55",-0.118382085605325
"1","2","56",0.411372473622422
"1","2","57",-0.239572905507544
"1","2","58",-0.0103125088825458
"1","2","59",-0.645468151726858
"1","2","60",-0.332021115550748
"1","2","61",-0.26427857975837
"1","2","62",-0.0326561190716059
"1","2","63",-0.0947861568689937
"1","2","64",-0.22362341761978
"1","2","65",-0.209155937092666
"1","2","66",-0.330765482833291
"1","2","67",0.0765803321603434
"1","2","68",0.00795329024746888
"1","2","69",0.415067318352062
"1","2","70",-0.812103223272093
"1","2","71",-0.264999651887674
"1","2","72",0.184647066627994
"1","2","73",0.77967381868327
"1","2","74",-0.486811248952166
"1","2","75",-0.32754470817404
"1","2","76",-0.266534471306605
"1","2","77",-1.20839942022552
"1","2","78",0.0736355344487758
"1","2","79",-0.190741020867237
"1","2","80",-0.356135645691874
"1","2","81",0.052213450496244
"1","2","82",-0.135814277402209
"1","2","83",-0.214919247206422
"1","2","84",-0.141432299350608
"1","2","85",-0.0189781104453093
"1","2","86",0.245411277282983
"1","2","87",-0.903417997428628
"1","2","88",0.183234908625605
"1","2","89",0.346409945689552
"1","2","90",0.240749254527434
"1","2","91",0.6105108337545
"1","2","92",-0.0617945578437552
"1","2","93",-0.116065177529969
"1","2","94",-0.161425910501105
"1","2","95",-0.977304161806417
