primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;53.96821349998936;1;54.045554599986644;56.045772499986924;56.045772499986924;None;58.07901069999207;None;60.33715549999033;60.67125759998453;61.86225710000144;61.87900659997831;66.12882019998506;None;None;0;66.12882019998506;None;67.69519470000523;None;None;None;[];67.69519470000523;None;5;None;67.69519470000523;None;;;;;;;;;;;;;;;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;70.71201849999488;None;72.82857689997763;73.1451728999964;74.28692389998469;74.30357200000435;76.29511989999446;None;None;0;76.29511989999446;None;77.84494310000446;None;None;None;[];77.84494310000446;None;5;None;77.84494310000446;None;;;;;;;;;;;;;;;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;81.89500789999147;None;83.16975479997927;83.48654630000237;84.63656019998598;84.65323100000387;86.61985580000328;None;None;0;86.61985580000328;None;;;;;;;;4;;;;80.87001929999678;None;88.16956239999854;None;None;None;[];88.16956239999854;None;['7'];[0.12598459998844191];88.16956239999854;None;;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;91.18661559998873;None;92.92787139999564;93.24458860000595;94.42793399997754;94.44461669999873;97.06953079998493;None;None;0;97.06953079998493;None;;;;;;;;5;;;;;;98.61953709999216;None;None;None;[];98.61953709999216;None;None;;98.61953709999216;None;;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;101.65280749998055;None;103.16925380000612;103.48593490000349;104.66933129998506;104.68593389997841;106.6109848000051;None;9;0;106.6109848000051;None;;;;;;;;9;;;;;;108.16088729997864;None;None;None;[];108.16088729997864;None;"['9', '9', '9', '9']";"[0.9024581999983639, 1.2462734000000637, 1.662273699999787, 1.9660957000160124]";108.16088729997864;None;0.404088099981891;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;111.16932449999149;None;112.50220369998715;112.81901259999722;113.95242339998367;113.96901499998057;115.95233209998696;None;None;0;115.95233209998696;None;;;;;;;;5;;;;;;117.50209589998121;None;None;None;[];117.50209589998121;None;None;;117.50209589998121;None;;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;120.51879030000418;None;122.72713270000531;123.04369130000123;124.23541269998532;124.25206699999399;135.17691919999197;None;7;0;135.17691919999197;None;;;;;;;;4;;;;;;136.7267409999913;None;None;None;[];136.7267409999913;None;['7'];[1.3525818000198342];136.7267409999913;None;0.9101758000033442;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;139.7267004000023;None;141.47651869998663;141.79315459998907;143.02654140000232;143.0431408000004;146.09311210000305;None;7;0;146.09311210000305;None;;;;;;;;2;;;;;;147.6430088999914;None;None;None;[];147.6430088999914;None;"['7', '7', '7']";"[1.1403863999876194, 1.4602266000001691, 1.828356599988183]";147.6430088999914;None;0.9299457000161055;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;150.65135519998148;None;152.69280369998887;153.00948759997846;154.1843169000058;154.20101570000406;156.93465129999095;None;7;0;156.93465129999095;None;;;;;;;;4;;;;;;158.48438989999704;None;None;None;[];158.48438989999704;None;['7'];[1.4029340000124648];158.48438989999704;None;1.0644258999964222;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;161.48439870000584;None;162.9175069000048;163.23418679999304;164.42555610000272;164.44258519998402;166.85928269999567;None;9;0;166.85928269999567;None;;;;;;;;9;;;;;;168.409127299994;None;None;None;[];168.409127299994;None;"['9', '9', '9', '9']";"[0.3503342000185512, 0.5901250000169966, 0.7979095000191592, 0.9577636000176426]";168.409127299994;None;1.067938599997433;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;171.40909219998866;None;172.85888449999038;173.17548700000043;174.3180744999845;174.34225600000354;176.3755414999905;None;7;0;176.3755414999905;None;;;;;;;;5;;;;;;177.92548959999112;None;None;None;[];177.92548959999112;None;None;;177.92548959999112;None;0.8798618000000715;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;180.9502707000065;None;182.25898290000623;182.57525039999746;183.7503432999947;183.76698109999415;189.5000691000023;None;9;0;189.5000691000023;None;;;;;;;;8;;;;;;191.05009579999023;None;None;None;[];191.05009579999023;None;"['9', '9', '9']";"[0.4371441999974195, 0.765190399979474, 1.309551799990004]";191.05009579999023;None;0.4433439999993425;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;194.05015480000293;None;195.74136439998983;196.05829869999434;197.19160769999144;197.20825799999875;205.32472720000078;None;7;0;205.32472720000078;None;;;;;;;;5;;;;;;206.87464460000047;None;None;None;[];206.87464460000047;None;"['7', '9']";"[1.556772700016154, 2.404661800013855]";206.87464460000047;None;0.9227751999860629;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;209.8746567000053;None;211.85766189999413;212.1744206000003;213.32447379999212;213.34111419998226;227.7990576000011;None;9;0;227.7990576000011;None;;;;;;;;5;;;;;;229.34063459999743;None;None;None;[];229.34063459999743;None;None;;229.34063459999743;None;1.160212299990235;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;232.3572537;None;233.85707739999634;234.1736566000036;235.3070289999887;235.32378740000422;238.32373189998907;None;9;0;238.32373189998907;None;;;;;;;;7;;;;;;239.873677399999;None;None;None;[];239.873677399999;None;"['9', '9', '9']";"[0.6857819000142626, 0.9417378000216559, 1.5414165000256617]";239.873677399999;None;0.7876135999977123;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;242.8820749000006;None;244.3984511999879;244.71508510000422;245.87320000000182;245.88999429999967;248.47351129999151;None;7;0;248.47351129999151;None;;;;;;;;5;;;;;;250.02336550000473;None;None;None;[];250.02336550000473;None;None;;250.02336550000473;None;0.9094699999841396;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
