primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;29.493725900072604;1;29.57104660011828;31.571214399766177;31.571214399766177;None;33.59615270001814;None;35.57110770000145;35.896085899788886;37.037468099966645;37.054186299908906;41.36245210003108;None;9;0;0.9263138002716005;41.36245210003108;None;42.92079309979454;None;None;None;[];42.92079309979454;None;7;"['9', '9', '9']";"[0.8484042999334633, 1.3680629003793001, 1.9040880003012717]";42.92079309979454;None;;;;;;;;;;;;;;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;45.904210899956524;None;48.02054819976911;48.33726010005921;49.57068149978295;49.587266199756414;51.470685199834406;None;None;0;;51.470685199834406;None;53.020522200036794;None;None;None;[];53.020522200036794;None;6;"['9', '9', '7']";"[0.10058380011469126, 1.5645109000615776, 2.1326178000308573]";53.020522200036794;None;;;;;;;;;;;;;;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;57.062071199994534;None;58.336945599876344;58.65359820006415;59.81180869974196;59.84533869987354;61.78689179988578;None;None;0;;61.78689179988578;None;;;;;;;;4;;;;;56.02041330002248;None;63.33688780013472;None;None;None;[];63.33688780013472;None;['7'];[0.9760814998298883];63.33688780013472;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;66.34509800001979;None;68.07826620014384;68.3949898998253;69.58662369986996;69.60333770001307;72.22002999996766;None;7;0;0.6368854003958404;72.22002999996766;None;;;;;;;;3;;;;;;;73.76973980013281;None;None;None;[];73.76973980013281;None;"['7', '7']";"[0.20702219987288117, 0.5031594000756741]";73.76973980013281;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;76.76987549988553;None;78.26125829992816;78.5779590997845;79.71123829996213;79.72792619979009;81.70299030002207;None;9;0;0.36990540008991957;81.70299030002207;None;;;;;;;;7;;;;;;;83.28621979989111;None;None;None;[];83.28621979989111;None;"['9', '9', '9']";"[0.27463759994134307, 0.6267551998607814, 1.1228485996834934]";83.28621979989111;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;86.28606359986588;None;87.61095390003175;87.92766600009054;89.05276999995112;89.06932140002027;91.06095039984211;None;7;0;0.051881300285458565;91.06095039984211;None;;;;;;;;1;;;;;;;92.67757980013266;None;None;None;[];92.67757980013266;None;"['7', '7', '7', '7']";"[0.22728610038757324, 0.5233340002596378, 1.099320000037551, 2.6754858000203967]";92.67757980013266;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;95.67748739989474;None;97.87742359982803;98.19414989976212;99.3611284000799;99.38578599970788;110.32717840000987;None;7;0;0.5857067001052201;110.32717840000987;None;;;;;;;;1;;;;;;;111.87700049998239;None;None;None;[];111.87700049998239;None;"['7', '7', '7', '7', '7']";"[0.20401090011000633, 0.49186159996315837, 0.8678534999489784, 1.1719388999044895, 1.4278037999756634]";111.87700049998239;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;114.88531329995021;None;116.63502879999578;116.95172799983993;118.11009849980474;118.12683149985969;121.25187559984624;None;None;0;;121.25187559984624;None;;;;;;;;2;;;;;;;122.80146230012178;None;None;None;[];122.80146230012178;None;"['7', '7', '7']";"[0.22374559985473752, 0.5833472996018827, 1.4714743997901678]";122.80146230012178;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;125.80994120007381;None;127.8346044998616;128.15133009990677;129.29294129973277;129.30975909996778;132.07684329990298;None;None;0;;132.07684329990298;None;;;;;;;;4;;;;;;;133.65948629984632;None;None;None;[];133.65948629984632;None;['7'];[0.19736120011657476];133.65948629984632;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;136.6596836997196;None;138.08436969993636;138.40106459986418;139.55949029978365;139.57595019973814;142.02610770007595;None;None;0;;142.02610770007595;None;;;;;;;;7;;;;;;;143.57591379992664;None;None;None;[];143.57591379992664;None;"['9', '9']";"[0.29697660030797124, 0.7369156000204384]";143.57591379992664;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;146.58423639973626;None;148.03406349988654;148.3507787999697;149.4840496997349;149.50076279975474;151.55072039971128;None;None;0;;151.55072039971128;None;;;;;;;;5;;;;;;;153.10079269995913;None;None;None;[];153.10079269995913;None;"['7', '9']";"[0.531957299914211, 1.7479795999825]";153.10079269995913;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;156.10908069973812;None;157.4171965997666;157.73375539993867;158.8921827999875;158.90891489991918;164.65862210001796;None;None;0;;164.65862210001796;None;;;;;;;;6;;;;;;;166.20860669994727;None;None;None;[];166.20860669994727;None;['9'];[0.25619039963930845];166.20860669994727;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;169.2086657998152;None;170.88332869997248;171.20003880001605;172.34168760012835;172.35846359981224;180.47544339997694;None;7;0;0.2937699002213776;180.47544339997694;None;;;;;;;;3;;;;;;;182.2497799997218;None;None;None;[];182.2497799997218;None;"['7', '7', '7', '7']";"[0.33507149992510676, 0.6550671998411417, 0.927006300073117, 1.2869838001206517]";182.2497799997218;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;185.24973429972306;None;187.2329017999582;187.54957049991935;188.72457889979705;188.7412052997388;203.18251439975575;None;None;0;;203.18251439975575;None;;;;;;;;7;;;;;;;204.7405371000059;None;None;None;[];204.7405371000059;None;"['9', '9']";"[0.3242609999142587, 0.7401904999278486]";204.7405371000059;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;207.74892459996045;None;209.24879999971017;209.56551879970357;210.6821365999058;210.69943520007655;213.71565030002967;None;None;0;;213.71565030002967;None;;;;;;;;5;;;;;;;215.26535010011867;None;None;None;[];215.26535010011867;None;"['9', '9', '9', '9', '7', '9']";"[0.6396362003870308, 1.095698700286448, 1.5355782001279294, 1.951469900086522, 2.6474962001666427, 2.935452700126916]";215.26535010011867;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;218.26528679998592;None;219.76513390010223;220.08181930007413;221.2566535999067;221.27365979971364;223.84017860004678;None;None;0;;223.84017860004678;None;;;;;;;;4;;;;;;;225.39008839987218;None;None;None;[];225.39008839987218;None;['7'];[1.1066025998443365];225.39008839987218;None;;;S11576;2022_Jul_11_1434;VideoMask;2021.1.2;120.07771410550647;
