primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;29.959747200016864;1;30.046616700012237;32.04638049995992;32.04638049995992;None;34.06361409998499;None;36.33772700000554;36.66302390000783;37.81290480005555;37.82967500004452;42.129310599993914;None;8;0;0.8351733000017703;42.129310599993914;None;43.787783900042996;None;None;None;[];43.787783900042996;None;5;None;43.787783900042996;None;;;;;;;;;;;;;;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;46.81277089996729;None;48.92902879999019;49.245742900064215;50.38757250003982;50.40424219996203;52.39592190005351;None;8;0;0.8964957999996841;52.39592190005351;None;53.945695300004445;None;None;None;[];53.945695300004445;None;5;None;53.945695300004445;None;;;;;;;;;;;;;;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;57.99565319996327;None;59.27875239995774;59.595395100070164;60.74557370005641;60.76218169997446;62.73697980004363;None;7;0;0.41939819999970496;62.73697980004363;None;;;;;;;;1;;;;56.9706875999691;None;64.39531559997704;None;None;None;[];64.39531559997704;None;"['7', '7', '7', '7', '7', '7']";"[0.3853091000346467, 0.7295762000139803, 0.9932518000714481, 1.4011536000762135, 1.9051640999969095, 2.5372704000910744]";64.39531559997704;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;67.39530350000132;None;69.15335459995549;69.4702095000539;70.67018959997222;70.68687860004138;73.29502800002228;None;8;0;1.4535000000614673;73.29502800002228;None;;;;;;;;5;;;;;;74.84506029996555;None;None;None;[];74.84506029996555;None;None;;74.84506029996555;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;77.86145840003155;None;79.3780860999832;79.69476230000146;80.8782191000646;80.8948398999637;82.81978719995823;None;9;0;1.2244921000674367;82.81978719995823;None;;;;;;;;6;;;;;;84.57791590003762;None;None;None;[];84.57791590003762;None;['9'];[0.4747747000074014];84.57791590003762;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;87.58632440003566;None;88.91946590004954;89.23624650004786;90.36132520006504;90.37782589998096;92.37789550004527;None;None;0;;92.37789550004527;None;;;;;;;;4;;;;;;94.27779149997514;None;None;None;[];94.27779149997514;None;"['7', '7']";"[0.3909827000461519, 1.6865961999865249]";94.27779149997514;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;97.27784780005459;None;99.50266130000819;99.8191018999787;100.96916510001756;100.98564930004068;111.95216560002882;None;7;0;0.6524838999612257;111.95216560002882;None;;;;;;;;4;;;;;;113.50217130000237;None;None;None;[];113.50217130000237;None;['7'];[0.31829080008901656];113.50217130000237;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;116.50214690004941;None;118.26020050002262;118.57683210005052;119.73520250001457;119.75178569997661;122.87708360003307;None;8;0;0.6637698999838904;122.87708360003307;None;;;;;;;;5;;;;;;124.42678259999957;None;None;None;[];124.42678259999957;None;['7'];[1.7857618000125512];124.42678259999957;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;127.4351389000658;None;129.46813259995542;129.78490780002903;131.01820200006478;131.03493940003682;133.7099052000558;None;7;0;0.5587485000723973;133.7099052000558;None;;;;;;;;4;;;;;;135.27640370000154;None;None;None;[];135.27640370000154;None;"['7', '7']";"[0.36816800001543015, 1.232171899988316]";135.27640370000154;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;138.28467990003992;None;139.70949240005575;140.0261856999714;141.2933170000324;141.31785840005614;143.6511006000219;None;9;0;0.3291919999755919;143.6511006000219;None;;;;;;;;8;;;;;;145.22610189998522;None;None;None;[];145.22610189998522;None;"['9', '9', '9']";"[0.1306380000896752, 0.9304734000470489, 1.890661400044337]";145.22610189998522;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;148.2343975000549;None;149.6841596000595;150.0009195000166;151.1349632999627;151.1592655000277;153.20088739995845;None;7;0;0.27555739996023476;153.20088739995845;None;;;;;;;;3;;;;;;154.82575800002087;None;None;None;[];154.82575800002087;None;"['7', '7', '7']";"[0.22677660000044852, 0.618833800079301, 1.0829276000149548]";154.82575800002087;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;157.82584970002063;None;159.11730070004705;159.43384229997173;160.59206779999658;160.6087414000649;166.35874920000788;None;9;0;0.2937604000326246;166.35874920000788;None;;;;;;;;6;;;;;;167.95030450006016;None;None;None;[];167.95030450006016;None;['9'];[0.5023158999392763];167.95030450006016;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;170.9585659999866;None;172.63357689999975;172.9501710999757;174.11685049999505;174.13352330005728;182.21651369996835;None;8;0;0.36416859994642437;182.21651369996835;None;;;;;;;;5;;;;;;183.76656969997566;None;None;None;[];183.76656969997566;None;None;;183.76656969997566;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;186.7912565000588;None;188.7661994000664;189.08305550005753;190.24124929995742;190.25781239999924;204.69912730006035;None;8;0;1.0093256999971345;204.69912730006035;None;;;;;;;;5;;;;;;206.26569000002928;None;None;None;[];206.26569000002928;None;None;;206.26569000002928;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;209.29052360006608;None;210.77382949995808;211.09048430004623;212.2490954999812;212.2655973000219;215.24053299997468;None;9;0;0.7319976999424398;215.24053299997468;None;;;;;;;;6;;;;;;216.79035719996318;None;None;None;[];216.79035719996318;None;['9'];[0.2701925999717787];216.79035719996318;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;219.79881060007028;None;221.298476499971;221.61524820001796;222.8399899000069;222.85675629996695;225.37365550000686;None;8;0;1.0228068999713287;225.37365550000686;None;;;;;;;;5;;;;;;226.93175200000405;None;None;None;[];226.93175200000405;None;None;;226.93175200000405;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;229.96507210005075;None;231.5233920000028;231.83994760003407;233.01475370000117;233.03145800007042;240.39813460002188;None;7;0;0.6225793999619782;240.39813460002188;None;;;;;;;;3;;;;;;241.94800019997638;None;None;None;[];241.94800019997638;None;"['7', '7', '7']";"[0.2805370999267325, 0.6002959999023005, 1.1364687999011949]";241.94800019997638;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;244.9479403999867;None;246.66444650001358;246.9810981999617;248.10617569996975;248.12351990002207;250.11438150005415;None;8;0;0.9540600000182167;250.11438150005415;None;;;;;;;;5;;;;;;251.66436850000173;None;None;None;[];251.66436850000173;None;None;;251.66436850000173;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;254.68075960001443;None;256.1556431000354;256.4725629000459;257.59759869996924;257.61418220005;259.6057606000686;None;7;0;0.4628409999422729;259.6057606000686;None;;;;;;;;4;;;;;;261.147390200058;None;None;None;[];261.147390200058;None;['7'];[0.2250674000242725];261.147390200058;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;264.1556123000337;None;265.8054446000606;266.1221913000336;267.27220660005696;267.28891720005777;269.2555233000312;None;7;0;0.35718639998231083;269.2555233000312;None;;;;;;;;3;;;;;;270.87209880002774;None;None;None;[];270.87209880002774;None;"['7', '7', '7']";"[0.07646899996325374, 0.31668230006471276, 0.6527594999643043]";270.87209880002774;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;273.88048509997316;None;275.6300353000406;275.9468407999957;277.09733869996853;277.121777900029;279.0800567000406;None;7;0;0.6363826000597328;279.0800567000406;None;;;;;;;;3;;;;;;280.6550640000496;None;None;None;[];280.6550640000496;None;"['7', '7']";"[0.037650999962352216, 1.022150499979034]";280.6550640000496;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;283.6635423999978;None;285.1964799000416;285.51323380006943;286.7720121999737;286.7965787999565;291.0381671000505;None;9;0;0.406636800034903;291.0381671000505;None;;;;;;;;8;;;;;;292.6544906999916;None;None;None;[];292.6544906999916;None;"['9', '9', '9']";"[11.965427199960686, 0.20584750000853091, 0.43772639997769147]";292.6544906999916;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;295.6464617999736;None;297.29609530000016;297.6129089000169;298.7466188999824;298.77109000005294;300.7461289999774;None;8;0;0.3784184999531135;300.7461289999774;None;;;;;;;;5;;;;;;302.79606640001293;None;None;None;[];302.79606640001293;None;None;;302.79606640001293;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;305.82926220004447;None;307.46242630004417;307.7791755000362;308.9291066000005;308.9458488000091;313.9206455000676;None;7;0;0.31593489996157587;313.9206455000676;None;;;;;;;;2;;;;;;315.5456437000539;None;None;None;[];315.5456437000539;None;"['7', '7', '7', '7']";"[0.018927199998870492, 0.24273219995666295, 0.46687470003962517, 1.155376199982129]";315.5456437000539;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;318.54563629999757;None;320.6369871000061;320.9537237000186;322.1035211000126;322.12031849997584;326.66205160005484;None;9;0;0.2784797999775037;326.66205160005484;None;;;;;;;;8;;;;;;328.2868957000319;None;None;None;[];328.2868957000319;None;"['9', '9', '9']";"[0.00558420002926141, 0.25352430006023496, 0.51757250004448]";328.2868957000319;None;;;S12038;2023_Feb_23_1754;VideoMask;2021.1.2;118.82115146858217;
