primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;0;0;0;0;;;;;82.3648389999289;1;82.44284779997543;84.44304359983653;84.44304359983653;None;86.45964989997447;None;88.65129439998418;88.97617219993845;90.12604769994505;90.14262049994431;94.44259719992988;None;9;0;0.6053045000880957;94.44259719992988;None;96.0009961000178;None;None;None;[];96.0009961000178;None;5;None;96.0009961000178;None;;;;;;;;;;;;;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;0;1;1;1;;;;;;;;;;;99.00913629983552;None;101.14234689995646;101.45909359981306;102.634143400006;102.65078629995696;104.59257530001923;None;9;0;0.6552608001511544;104.59257530001923;None;106.14237379981205;None;None;None;[];106.14237379981205;None;5;None;106.14237379981205;None;;;;;;;;;;;;;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;228.63582583242618;;;;;0;0;0;0;;;;;;;110.18386009987444;None;112.28371310001239;112.60047639999539;113.74197909981012;113.75883659999818;116.43410620000213;None;8;0;0.70980259985663;116.43410620000213;None;;;;;;;;5;;;;109.17556579993106;None;118.00044089998119;None;None;None;[];118.00044089998119;None;None;118.00044089998119;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;163.14738846961149;;;;;0;1;1;1;;;;;;;121.01698859990574;None;122.61677549988963;122.93348170001991;124.06678069988266;124.08345989999361;131.49172489997;None;8;0;0.6201460999436677;131.49172489997;None;;;;;;;;5;;;;;;133.0416007998865;None;None;None;[];133.0416007998865;None;None;133.0416007998865;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;140.0;150.0;184.58211837191982;;;;;0;2;2;2;;;;;;;136.0665549999103;None;137.7996795999352;138.11630809982307;139.30785729992203;139.3246110000182;141.2415179000236;None;None;0;;141.2415179000236;None;;;;;;;;5;;;;;;142.7915441999212;None;None;None;[];142.7915441999212;None;None;142.7915441999212;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;189.50417957278896;;;;;0;3;3;3;;;;;;;145.82463429984637;None;147.61596969980747;147.93275029980578;149.06638069986366;149.08271200000308;151.06618959992193;None;9;0;0.9017056000884622;151.06618959992193;None;;;;;;;;6;;;;;;152.61602179985493;None;None;None;[];152.61602179985493;None;['9'];152.61602179985493;None;[0.4639026001095772];;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;156.55128602613038;;;;;0;4;4;4;;;;;;;155.62435840000398;None;157.13251979998313;157.44919329998083;158.6329697999172;158.6573932999745;164.30754940002225;None;8;0;0.8044347998220474;164.30754940002225;None;;;;;;;;5;;;;;;165.85734689980745;None;None;None;[];165.85734689980745;None;None;165.85734689980745;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;219.83540383939274;;;;;0;5;5;5;;;;;;;168.8906794998329;None;170.91535439994186;171.23213150002994;172.40701169986278;172.42383449990302;176.75707729998976;None;None;0;;176.75707729998976;None;;;;;;;;6;;;;;;178.30691339983605;None;None;None;[];178.30691339983605;None;"['9', '9']";178.30691339983605;None;"[2.0690671999473125, 2.2770911999978125]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;147.95125229894379;;;;;0;6;6;6;;;;;;;181.31525969994254;None;182.7317206999287;183.0485017998144;184.19854789995588;184.2151098998729;186.97364109987393;None;8;0;0.4503968998324126;186.97364109987393;None;;;;;;;;5;;;;;;188.53170419996604;None;None;None;[];188.53170419996604;None;None;188.53170419996604;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;144.3898903070799;;;;;0;7;7;7;;;;;;;191.56501160003245;None;192.95636299997568;193.27316630003043;194.42321469984017;194.43994529987685;197.95660659996793;None;None;0;;197.95660659996793;None;;;;;;;;5;;;;;;199.50643019983545;None;None;None;[];199.50643019983545;None;None;199.50643019983545;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;192.80086779892653;;;;;0;8;8;8;;;;;;;202.53973690001294;None;204.3727898998186;204.6895849998109;205.88132489984855;205.8978748000227;215.0476684998721;None;8;0;0.7046805999707431;215.0476684998721;None;;;;;;;;5;;;;;;216.59758990001865;None;None;None;[];216.59758990001865;None;None;216.59758990001865;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;134.62621969351147;;;;;0;9;9;9;;;;;;;219.6309110999573;None;220.95567179983482;221.27233710000291;222.46404169988818;222.48064629989676;227.4313176998403;None;None;0;;227.4313176998403;None;;;;;;;;5;;;;;;229.18095099995844;None;None;None;[];229.18095099995844;None;None;229.18095099995844;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;238.4103736452693;;;;;0;10;10;10;;;;;;;232.2054009998683;None;234.40531609999016;234.72206850000657;235.85529619990848;235.87204389995895;237.85595969995484;None;None;0;;237.85595969995484;None;;;;;;;;5;;;;;;239.4055397999473;None;None;None;[];239.4055397999473;None;None;239.4055397999473;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;140.0;150.0;120.08648649110712;;;;;0;11;11;11;;;;;;;242.42178299999796;None;243.66326319985092;243.98021249985322;245.1215627999045;245.13849069993012;257.3216899000108;None;None;0;;257.3216899000108;None;;;;;;;;5;;;;;;258.87960310000926;None;None;None;[];258.87960310000926;None;None;258.87960310000926;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;169.3395974323834;;;;;0;12;12;12;;;;;;;261.9046491999179;None;263.54610199993476;263.8628835999407;265.06362869986333;265.0883146999404;273.1294388999231;None;8;0;0.542790099978447;273.1294388999231;None;;;;;;;;5;;;;;;274.7042356999591;None;None;None;[];274.7042356999591;None;None;274.7042356999591;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;124.24628091899196;;;;;0;13;13;13;;;;;;;277.7292696000077;None;279.0042261998169;279.32082669995725;280.51248179981485;280.5290848999284;285.4546586999204;None;8;0;0.6974485998507589;285.4546586999204;None;;;;;;;;5;;;;;;287.2289378999267;None;None;None;[];287.2289378999267;None;None;287.2289378999267;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;140.0;150.0;236.6487020138435;;;;;0;14;14;14;;;;;;;290.2538868000265;None;292.45361929992214;292.77038879995234;293.887423499953;293.9043591998052;301.5203251999337;None;None;0;;301.5203251999337;None;;;;;;;;5;;;;;;303.07860250002705;None;None;None;[];303.07860250002705;None;None;303.07860250002705;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;238.8507440172915;;;;;0;15;15;15;;;;;;;306.09488149988465;None;308.3114910000004;308.6282595999073;309.76140840002336;309.7782566000242;320.76978999981657;None;8;0;1.094362299889326;320.76978999981657;None;;;;;;;;5;;;;;;322.31960449996404;None;None;None;[];322.31960449996404;None;None;322.31960449996404;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;185.59030554143408;;;;;0;16;16;16;;;;;;;325.33615649980493;None;327.0775798999239;327.39437310001813;328.5278584000189;328.54443949996494;330.5279482998885;None;None;0;;330.5279482998885;None;;;;;;;;5;;;;;;332.078120799968;None;None;None;[];332.078120799968;None;None;332.078120799968;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;159.52646627166388;;;;;0;17;17;17;;;;;;;335.11090229987167;None;336.64406019984744;336.9607764999382;338.10250719985925;338.1198122999631;344.6855295000132;None;8;0;0.5707113000098616;344.6855295000132;None;;;;;;;;5;;;;;;346.26059799990617;None;None;None;[];346.26059799990617;None;None;346.26059799990617;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.0431594605889;;;;;0;18;18;18;;;;;;;349.2857323999051;None;350.576910499949;350.89390629995614;352.0188467998523;352.03535200003535;354.093651099829;None;None;0;;354.093651099829;None;;;;;;;;5;;;;;;355.64365640003234;None;None;None;[];355.64365640003234;None;None;355.64365640003234;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;168.97426303437265;;;;;0;19;19;19;;;;;;;358.66013749991544;None;360.268297099974;360.58523389999755;361.71057299990207;361.7268774998374;363.7184396998491;None;8;0;0.889820700045675;363.7184396998491;None;;;;;;;;5;;;;;;365.26842350000516;None;None;None;[];365.26842350000516;None;None;365.26842350000516;None;;;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
