primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;23.17748539999593;1;23.263641700032167;25.263681899989024;25.263681899989024;None;27.297627400024794;None;29.546874099993147;29.87178909999784;31.02173010003753;31.038265999988653;35.338328000041656;None;None;0;35.338328000041656;None;36.90499930002261;None;None;None;[];36.90499930002261;None;6;['9'];[1.3071230999194086];36.90499930002261;None;;;;;;;;;;;;;;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;39.88823460007552;None;42.01308140007313;42.329768900061026;43.47142439999152;43.48844880005345;45.462922399980016;None;None;0;45.462922399980016;None;47.012926000053994;None;None;None;[];47.012926000053994;None;7;"['9', '9']";"[1.5990202999673784, 2.871132200001739]";47.012926000053994;None;;;;;;;;;;;;;;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;51.046067200019024;None;52.32102340005804;52.63772490003612;53.77090030000545;53.78771489998326;55.77115809998941;None;None;0;55.77115809998941;None;;;;;;;;2;;;;;50.012820700067095;None;57.43765330000315;None;None;None;[];57.43765330000315;None;"['7', '7', '7', '7', '7', '7']";"[0.5423593999585137, 0.8461481999838725, 1.110314300050959, 1.5661778999492526, 1.894248199998401, 2.5022557999473065]";57.43765330000315;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;60.437547000008635;None;62.1707546999678;62.48740620003082;63.645849899970926;63.66245689999778;66.31243569997605;None;None;0;66.31243569997605;None;;;;;;;;2;;;;;;;67.87046840006951;None;None;None;[];67.87046840006951;None;"['7', '7', '7']";"[0.5657514999620616, 0.9654798998963088, 1.3414180999388918]";67.87046840006951;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;70.87056449998636;None;72.37036190007348;72.68709340004716;73.85378780006431;73.87044359999709;75.81212520005647;None;None;0;75.81212520005647;None;;;;;;;;9;;;;;;;77.36185850005131;None;None;None;[];77.36185850005131;None;"['9', '9', '9', '9']";"[0.37007740000262856, 0.9539971000049263, 1.2498925999971107, 1.5700773999560624]";77.36185850005131;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;80.36190959997475;None;81.68686470005196;82.00352270004805;83.12860290007666;83.145155300037;85.13678830000572;None;None;0;85.13678830000572;None;;;;;;;;3;;;;;;;86.68676229997072;None;None;None;[];86.68676229997072;None;"['7', '7']";"[0.477036299998872, 1.2213901000795886]";86.68676229997072;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;89.69501719996333;None;91.90318310004659;92.2199148000218;93.40309270005673;93.41984550002962;104.35294220002834;None;None;0;104.35294220002834;None;;;;;;;;2;;;;;;;105.9028378999792;None;None;None;[];105.9028378999792;None;"['7', '7', '7']";"[0.4451145000057295, 0.7170488000847399, 0.9809381000231951]";105.9028378999792;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;108.91120910004247;None;110.66919649997726;110.9858861999819;112.1613375999732;112.185833800002;115.28582360001747;None;7;0;115.28582360001747;None;;;;;;;;1;;;;;;;116.83573940000497;None;None;None;[];116.83573940000497;None;"['7', '7', '7', '7', '7', '7']";"[0.28824520006310195, 0.5281193000264466, 0.7522066000383347, 1.1601239000447094, 1.4241857000160962, 1.7121189000317827]";116.83573940000497;None;0.5901449000230059;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;119.84406180004589;None;121.87714170000982;122.19388000003528;123.40201299998444;123.41874980006833;126.11907770007383;None;None;0;126.11907770007383;None;;;;;;;;2;;;;;;;127.71028360002674;None;None;None;[];127.71028360002674;None;"['7', '7', '7']";"[0.3580867999698967, 0.8536718999966979, 1.2302030000137165]";127.71028360002674;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;130.7187649999978;None;132.14346549997572;132.46021140005905;133.63508939999156;133.65175429999363;136.0852221000241;None;None;0;136.0852221000241;None;;;;;;;;9;;;;;;;137.63515740004368;None;None;None;[];137.63515740004368;None;"['9', '9', '9', '9', '9', '9']";"[0.3928758999099955, 0.7450663999188691, 1.0646526999771595, 1.2806483999593183, 1.5926935999887064, 2.0327285999665037]";137.63515740004368;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;140.64336290000938;None;142.09325230005197;142.40989490004722;143.5516074000625;143.5682604999747;145.60985640005674;None;None;0;145.60985640005674;None;;;;;;;;2;;;;;;;147.15985589998309;None;None;None;[];147.15985589998309;None;"['7', '7', '7']";"[0.4360994000453502, 0.7641099999891594, 1.0764526999555528]";147.15985589998309;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;150.15970339998603;None;151.44295000005513;151.7596104000695;153.0095923000481;153.02626710000914;158.6843839000212;None;None;0;158.6843839000212;None;;;;;;;;7;;;;;;;160.23424260003958;None;None;None;[];160.23424260003958;None;"['9', '9']";"[0.39376160001847893, 0.7937677999725565]";160.23424260003958;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;163.2342965999851;None;164.91742429998703;165.23416330001783;166.4341328999726;166.45154410006944;174.52562460000627;None;None;0;174.52562460000627;None;;;;;;;;2;;;;;;;176.1672756000189;None;None;None;[];176.1672756000189;None;"['7', '7', '7', '7']";"[0.4608946000225842, 0.8127340000355616, 1.1725836000405252, 1.4366187000414357]";176.1672756000189;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;179.17543619999196;None;181.191905100015;181.50874219997786;182.67533800005913;182.69184260000475;197.1250528000528;None;None;0;197.1250528000528;None;;;;;;;;6;;;;;;;198.6749065000331;None;None;None;[];198.6749065000331;None;"['9', '9']";"[0.5690198999363929, 1.2889255000045523]";198.6749065000331;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;201.68328490003478;None;203.16634620004334;203.48295750003308;204.62472490000073;204.6413476000307;207.63297659996897;None;None;0;207.63297659996897;None;;;;;;;;8;;;;;;;209.182930400013;None;None;None;[];209.182930400013;None;"['9', '9', '9']";"[0.6932280999608338, 1.0209832999389619, 1.3250857000239193]";209.182930400013;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;212.19108190003317;None;213.69099200004712;214.00765120005235;215.19906830007676;215.21586840006057;217.76604060002137;None;None;0;217.76604060002137;None;;;;;;;;1;;;;;;;219.43255050003063;None;None;None;[];219.43255050003063;None;"['7', '7', '7', '7']";"[0.3794257999397814, 0.7154891999671236, 1.0753435000078753, 1.347335199941881]";219.43255050003063;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;222.44116479996592;None;223.99879430001602;224.31568500003777;225.52391190000344;225.5406947999727;232.87388389999978;None;7;0;232.87388389999978;None;;;;;;;;1;;;;;;;234.4235985999694;None;None;None;[];234.4235985999694;None;"['7', '7', '7', '7']";"[0.44435799994971603, 0.692350999917835, 0.9083476999076083, 1.116260499926284]";234.4235985999694;None;0.30608690006192774;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;237.4236169999931;None;239.14019740000367;239.45692430005874;240.58193210000172;240.5986348000588;242.59039849997498;None;None;0;242.59039849997498;None;;;;;;;;4;;;;;;;244.1482784000691;None;None;None;[];244.1482784000691;None;['7'];[0.42375709989573807];244.1482784000691;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
