primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;31.754102900000362;1;31.831561400000282;33.83184919999985;33.83184919999985;None;35.86507400000119;None;37.79858080000122;38.123403900000994;39.28989340000044;39.306589600000734;43.58975570000075;None;8;0;1.2659910999991553;43.58975570000075;None;45.18142369999987;None;None;None;[];45.18142369999987;None;5;None;45.18142369999987;None;;;;;;;;;;;;;;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;48.206264100001135;None;50.32275380000101;50.64801950000037;51.79787469999974;51.814512200000536;53.772824100000435;None;8;0;1.122809700000289;53.772824100000435;None;55.322649400000955;None;None;None;[];55.322649400000955;None;5;None;55.322649400000955;None;;;;;;;;;;;;;;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;59.35594820000006;None;60.639080500001;60.955848000001424;62.08902670000134;62.10578739999983;64.08907550000004;None;7;0;0.9588220000005094;64.08907550000004;None;;;;;;;;4;;;;58.35594240000137;None;65.64766190000046;None;None;None;[];65.64766190000046;None;['7'];[1.0881530000006023];65.64766190000046;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;68.65580380000029;None;70.39699010000004;70.71380640000098;71.9138165000004;71.93086010000115;74.53878630000145;None;7;0;0.9809349999995902;74.53878630000145;None;;;;;;;;5;;;;;;76.09704290000082;None;None;None;[];76.09704290000082;None;"['7', '7']";"[1.078629899999214, 2.094649999999092]";76.09704290000082;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;79.09707239999989;None;80.60509300000012;80.92175940000016;82.13853190000009;82.1551754000011;84.04685510000127;None;9;0;0.9608219000001554;84.04685510000127;None;;;;;;;;6;;;;;;85.60505410000042;None;None;None;[];85.60505410000042;None;['9'];[0.9146366000004491];85.60505410000042;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;88.60493830000087;None;89.94646260000081;90.26328790000116;91.3882709999998;91.4048528000003;93.39643369999976;None;None;0;;93.39643369999976;None;;;;;;;;5;;;;;;94.94623339999998;None;None;None;[];94.94623339999998;None;None;;94.94623339999998;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;97.96283390000099;None;100.19621390000066;100.51302840000062;101.67118339999979;101.68785970000135;112.64583140000104;None;7;0;0.8418946999991022;112.64583140000104;None;;;;;;;;4;;;;;;114.23744050000096;None;None;None;[];114.23744050000096;None;['7'];[0.6261561999999685];114.23744050000096;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;117.23738860000049;None;119.0038280000008;119.32053009999981;120.47926139999981;120.49581990000115;123.6204644999998;None;7;0;0.8591415999999299;123.6204644999998;None;;;;;;;;3;;;;;;125.17034460000104;None;None;None;[];125.17034460000104;None;"['7', '7']";"[0.8533397000010154, 1.2372512000001734]";125.17034460000104;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;128.17041489999974;None;130.21167570000034;130.52848360000098;131.71166840000114;131.72855730000083;134.45382830000017;None;7;0;0.5700450000003912;134.45382830000017;None;;;;;;;;4;;;;;;136.29502839999986;None;None;None;[];136.29502839999986;None;['7'];[0.6408289999999397];136.29502839999986;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;139.29497300000003;None;140.73646120000012;141.05318310000075;142.2363034000009;142.25309730000117;144.67814720000024;None;9;0;0.8173959999985527;144.67814720000024;None;;;;;;;;6;;;;;;146.22805049999988;None;None;None;[];146.22805049999988;None;"['9', '9']";"[0.6275440999997954, 1.2838515999992524]";146.22805049999988;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;149.22812460000023;None;150.6777705000004;150.99448010000015;152.1278559000002;152.14449260000038;154.19441840000036;None;7;0;0.7810774999998102;154.19441840000036;None;;;;;;;;3;;;;;;155.74435280000034;None;None;None;[];155.74435280000034;None;"['7', '7', '7']";"[0.8155148999994708, 1.727429000000484, 2.159111099999791]";155.74435280000034;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;158.75260290000006;None;160.0525705;160.36917189999986;161.52753630000007;161.5441862000007;167.2941389000007;None;9;0;1.0654164999996283;167.2941389000007;None;;;;;;;;5;;;;;;168.87730120000015;None;None;None;[];168.87730120000015;None;None;;168.87730120000015;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;171.9019958000008;None;173.59391740000137;173.91038720000142;175.110397800001;175.1277499000007;183.17681850000008;None;7;0;0.846935300000041;183.17681850000008;None;;;;;;;;4;;;;;;184.7267640000009;None;None;None;[];184.7267640000009;None;['7'];[0.8086961000008159];184.7267640000009;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;187.72667809999984;None;189.70964650000133;190.0266343000003;191.2265124000005;191.24309710000125;205.64268850000008;None;9;0;0.7408250000007683;205.64268850000008;None;;;;;;;;6;;;;;;207.1927013000004;None;None;None;[];207.1927013000004;None;['9'];[0.7269752999982302];207.1927013000004;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;210.19254290000026;None;211.7007334000009;212.0175089000004;213.15918229999988;213.17577429999983;216.1674034000007;None;9;0;1.0319719999988592;216.1674034000007;None;;;;;;;;5;;;;;;217.71734660000038;None;None;None;[];217.71734660000038;None;None;;217.71734660000038;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;220.75061840000126;None;222.28385470000103;222.6004513000007;223.82525739999983;223.84193960000084;226.35879370000112;None;7;0;0.7846150999994279;226.35879370000112;None;;;;;;;;4;;;;;;227.90870330000143;None;None;None;[];227.90870330000143;None;['7'];[0.47470590000011725];227.90870330000143;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;230.90871739999966;None;232.49180650000017;232.80847600000016;234.04160159999992;234.05827280000085;241.36663550000048;None;7;0;1.096989499999836;241.36663550000048;None;;;;;;;;5;;;;;;242.91651740000088;None;None;None;[];242.91651740000088;None;None;;242.91651740000088;None;;;S11597;2022_Jul_20_1726;VideoMask;2021.1.2;120.03288901136962;
