primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1111;m;1111_m_m_h_a.jpg;happy;9;example_30.4ns.avi;neutral;7;incongruent;120.0;170.0;189.5874364012288;;0;0;0;0;;;;;173.4482814000221;1;173.52595839998685;175.52613929996733;175.52613929996733;None;177.54273979994468;None;179.7927478000056;180.12604429991916;181.2593373999698;181.27592949999962;185.58418999996502;None;8;0;1.249435200006701;185.58418999996502;None;187.15913159993943;None;None;None;[];187.15913159993943;None;5;None;187.15913159993943;None;;;;;;;;;;;;;;;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
1113;f;1113_y_f_s_a.jpg;sad;7;example_30.3ns.avi;neutral;7;incongruent;130.0;170.0;229.02432995836998;;0;1;1;1;;;;;;;;;;;190.1590897999704;None;192.2922199999448;192.6089168000035;193.78398649999872;193.8006432999391;195.74227149994113;None;8;0;1.0592922999057919;195.74227149994113;None;197.29218340001535;None;None;None;[];197.29218340001535;None;5;None;197.29218340001535;None;;;;;;;;;;;;;;;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;128.09063432376465;h_s;;;;;0;0;0;0;;;;;;;201.32540879992303;None;202.6168698000256;202.9336159999948;204.06737549998797;204.08393600001;206.0670633999398;None;None;0;;206.0670633999398;None;;;;;;;;5;;;;200.31712249992415;None;207.6169469000306;None;None;None;[];207.6169469000306;None;None;207.6169469000306;None;;;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_94.2ns.avi;sad;7.0;congruent;130.0;160.0;182.29120173647655;s_s;;;;;0;1;1;1;;;;;;;210.6418635000009;None;212.37494220002554;212.69165219995193;213.89168789994437;213.9084338999819;216.51661940000486;None;None;0;;216.51661940000486;None;;;;;;;;5;;;;;;218.06662039994262;None;None;None;[];218.06662039994262;None;None;218.06662039994262;None;;;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_26.1ns.avi;happy;9.0;congruent;120.0;150.0;155.9437854594882;h_h;;;;;0;2;2;2;;;;;;;221.0831289999187;None;222.59130650002044;222.9080995999975;224.10015730001032;224.11680389998946;226.0330119000282;None;9;0;0.9606554999481887;226.0330119000282;None;;;;;;;;7;;;;;;227.58296709996648;None;None;None;[];227.58296709996648;None;"['9', '9']";227.58296709996648;None;"[0.8988359000068158, 1.6907029000576586]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;133.99071306426532;h_s;;;;;0;3;3;3;;;;;;;230.59132140001748;None;231.92441670002881;232.2410984999733;233.3661363000283;233.3826807999285;235.3743581000017;None;8;0;0.7232769000111148;235.3743581000017;None;;;;;;;;4;;;;;;236.92434279993176;None;None;None;[];236.92434279993176;None;['7'];236.92434279993176;None;[0.621119000017643];;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;229.88540597086478;s_s;;;;;0;4;4;4;;;;;;;239.92427359998692;None;242.09083709993865;242.4073985000141;243.55751970002893;243.57409699994605;254.54062430001795;None;7;0;0.5967821000376716;254.54062430001795;None;;;;;;;;2;;;;;;256.09044309996534;None;None;None;[];256.09044309996534;None;"['7', '7', '7', '7']";256.09044309996534;None;"[0.351441300008446, 0.7271493000444025, 1.1354686000850052, 1.9515425000572577]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;185.20129417468752;s_s;;;;;0;5;5;5;;;;;;;259.09879449999426;None;260.86518169997726;261.18189020000864;262.340253100032;262.3568105000304;265.4820517000044;None;7;0;0.8075703999493271;265.4820517000044;None;;;;;;;;2;;;;;;267.031780899968;None;None;None;[];267.031780899968;None;"['7', '7', '7', '7', '7']";267.031780899968;None;"[0.37000580003950745, 0.7858122000470757, 1.2255819999845698, 2.2579206000082195, 2.6658283000579104]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
2.0;f;012_o_f_s_a.jpg;sad;7.0;sad_7.5ns.avi;sad;7.0;congruent;130.0;160.0;220.27842655424388;s_s;;;;;0;6;6;6;;;;;;;270.03170960000716;None;272.08163809997495;272.3981650000205;273.55663300002925;273.5732577999588;276.3231574000092;None;8;0;1.454246300039813;276.3231574000092;None;;;;;;;;4;;;;;;277.8731904999586;None;None;None;[];277.8731904999586;None;['7'];277.8731904999586;None;[1.2244187000906095];;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;120.0;150.0;146.44967055810616;h_h;;;;;0;7;7;7;;;;;;;280.8730635999236;None;282.3061957999598;282.62290990003385;283.7896401999751;283.8062613999937;286.2478088999633;None;9;0;0.6259452000958845;286.2478088999633;None;;;;;;;;7;;;;;;287.79778070002794;None;None;None;[];287.79778070002794;None;"['9', '9']";287.79778070002794;None;"[0.5562379999319091, 1.2443008000263944]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;290.79774059995543;None;292.2642367000226;292.5808871999616;293.7148436999414;293.7392601999454;295.78102170000784;None;7;0;0.6764493000227958;295.78102170000784;None;;;;;;;;3;;;;;;297.32255499996245;None;None;None;[];297.32255499996245;None;"['7', '7']";297.32255499996245;None;"[0.4313143000472337, 1.3193699000403285]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;300.3225535999518;None;301.6055349999806;301.9223463999806;303.0728192999959;303.0974918999709;308.84706619998906;None;9;0;0.4906284000026062;308.84706619998906;None;;;;;;;;6;;;;;;310.3971631999593;None;None;None;[];310.3971631999593;None;['9'];310.3971631999593;None;[0.3805470000952482];;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;313.39728109992575;None;315.08855460002087;315.4053557999432;316.5726542000193;316.60557419992983;324.68010549992323;None;7;0;0.6016194999683648;324.68010549992323;None;;;;;;;;3;;;;;;326.23002539994195;None;None;None;[];326.23002539994195;None;"['7', '7', '7']";326.23002539994195;None;"[0.4675990000832826, 0.8355890000239015, 1.3156167000997812]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;329.23003239999525;None;331.213028499973;331.5298380999593;332.7385613999795;332.75512600003276;347.14606689999346;None;8;0;0.9197811000049114;347.14606689999346;None;;;;;;;;3;;;;;;348.687657799921;None;None;None;[];348.687657799921;None;"['7', '7']";348.687657799921;None;"[0.3779627999756485, 1.3782339999452233]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;351.68767469993327;None;353.1874215999851;353.5041429999983;354.6790367999347;354.69572820002213;357.6541209999705;None;9;0;0.6276206000475213;357.6541209999705;None;;;;;;;;8;;;;;;359.2040482999291;None;None;None;[];359.2040482999291;None;"['9', '9', '9', '9', '9']";359.2040482999291;None;"[0.39775829995051026, 0.74958990002051, 1.0774571999209002, 1.4695912000024691, 1.9735893999459222]";;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;362.21236040000804;None;363.7121296999976;364.0289177999366;365.20379389997106;365.22050950000994;367.78726339992136;None;8;0;0.7664266999345273;367.78726339992136;None;;;;;;;;4;;;;;;369.337097599986;None;None;None;[];369.337097599986;None;['7'];369.337097599986;None;[0.6328089999733493];;;S11179;2022_Jan_31_1707;VideoMask;2021.1.2;119.94074920968846;
